season_week,season,week,n,actual_elim,rank_bottom2,rank_elim_original,rank_elim_judge_lowest,rank_elim_judge_fan_safe,rank_elim_judge_fan_drama,pct_bottom2,pct_elim_original,pct_elim_judge_lowest,pct_elim_judge_fan_safe,pct_elim_judge_fan_drama,rank_judge_lowest_correct,pct_judge_lowest_correct
10_2,10,2,11,Shannen Doherty_Mark Ballas_10,"['Buzz Aldrin_Ashly DelGrosso_10', 'Shannen Doherty_Mark Ballas_10']",Buzz Aldrin_Ashly DelGrosso_10,Buzz Aldrin_Ashly DelGrosso_10,Shannen Doherty_Mark Ballas_10,Buzz Aldrin_Ashly DelGrosso_10,"['Buzz Aldrin_Ashly DelGrosso_10', 'Aiden Turner_Edyta Sliwinska_10']",Buzz Aldrin_Ashly DelGrosso_10,Buzz Aldrin_Ashly DelGrosso_10,Buzz Aldrin_Ashly DelGrosso_10,Aiden Turner_Edyta Sliwinska_10,0,0
10_3,10,3,10,Buzz Aldrin_Ashly DelGrosso_10,"['Buzz Aldrin_Ashly DelGrosso_10', 'Aiden Turner_Edyta Sliwinska_10']",Buzz Aldrin_Ashly DelGrosso_10,Buzz Aldrin_Ashly DelGrosso_10,Buzz Aldrin_Ashly DelGrosso_10,Aiden Turner_Edyta Sliwinska_10,"['Buzz Aldrin_Ashly DelGrosso_10', 'Aiden Turner_Edyta Sliwinska_10']",Buzz Aldrin_Ashly DelGrosso_10,Buzz Aldrin_Ashly DelGrosso_10,Buzz Aldrin_Ashly DelGrosso_10,Aiden Turner_Edyta Sliwinska_10,1,1
10_4,10,4,9,Aiden Turner_Edyta Sliwinska_10,"['Aiden Turner_Edyta Sliwinska_10', 'Kate Gosselin_Tony Dovolani_10']",Aiden Turner_Edyta Sliwinska_10,Kate Gosselin_Tony Dovolani_10,Aiden Turner_Edyta Sliwinska_10,Kate Gosselin_Tony Dovolani_10,"['Kate Gosselin_Tony Dovolani_10', 'Aiden Turner_Edyta Sliwinska_10']",Kate Gosselin_Tony Dovolani_10,Kate Gosselin_Tony Dovolani_10,Aiden Turner_Edyta Sliwinska_10,Kate Gosselin_Tony Dovolani_10,0,0
10_5,10,5,8,Kate Gosselin_Tony Dovolani_10,"['Kate Gosselin_Tony Dovolani_10', 'Niecy Nash_Louis van Amstel_10']",Kate Gosselin_Tony Dovolani_10,Kate Gosselin_Tony Dovolani_10,Kate Gosselin_Tony Dovolani_10,Niecy Nash_Louis van Amstel_10,"['Kate Gosselin_Tony Dovolani_10', 'Nicole Scherzinger_Derek Hough_10']",Kate Gosselin_Tony Dovolani_10,Kate Gosselin_Tony Dovolani_10,Kate Gosselin_Tony Dovolani_10,Nicole Scherzinger_Derek Hough_10,1,1
10_7,10,7,6,Pamela Anderson_Damian Whitewood_10,"['Niecy Nash_Louis van Amstel_10', 'Pamela Anderson_Damian Whitewood_10']",Niecy Nash_Louis van Amstel_10,Niecy Nash_Louis van Amstel_10,Niecy Nash_Louis van Amstel_10,Pamela Anderson_Damian Whitewood_10,"['Niecy Nash_Louis van Amstel_10', 'Pamela Anderson_Damian Whitewood_10']",Niecy Nash_Louis van Amstel_10,Niecy Nash_Louis van Amstel_10,Niecy Nash_Louis van Amstel_10,Pamela Anderson_Damian Whitewood_10,0,0
10_8,10,8,5,Niecy Nash_Louis van Amstel_10,"['Niecy Nash_Louis van Amstel_10', 'Chad Ochocinco_Cheryl Burke_10']",Niecy Nash_Louis van Amstel_10,Niecy Nash_Louis van Amstel_10,Niecy Nash_Louis van Amstel_10,Chad Ochocinco_Cheryl Burke_10,"['Niecy Nash_Louis van Amstel_10', 'Chad Ochocinco_Cheryl Burke_10']",Niecy Nash_Louis van Amstel_10,Niecy Nash_Louis van Amstel_10,Niecy Nash_Louis van Amstel_10,Chad Ochocinco_Cheryl Burke_10,1,1
10_9,10,9,4,Chad Ochocinco_Cheryl Burke_10,"['Chad Ochocinco_Cheryl Burke_10', 'Erin Andrews_Maksim Chmerkoskiy_10']",Chad Ochocinco_Cheryl Burke_10,Chad Ochocinco_Cheryl Burke_10,Chad Ochocinco_Cheryl Burke_10,Erin Andrews_Maksim Chmerkoskiy_10,"['Chad Ochocinco_Cheryl Burke_10', 'Erin Andrews_Maksim Chmerkoskiy_10']",Chad Ochocinco_Cheryl Burke_10,Chad Ochocinco_Cheryl Burke_10,Chad Ochocinco_Cheryl Burke_10,Erin Andrews_Maksim Chmerkoskiy_10,1,1
11_1,11,1,12,David Hasselhoff_Kym Johnson_11,"['David Hasselhoff_Kym Johnson_11', 'Margaret Cho_Louis van Amstel_11']",David Hasselhoff_Kym Johnson_11,David Hasselhoff_Kym Johnson_11,David Hasselhoff_Kym Johnson_11,Margaret Cho_Louis van Amstel_11,"['David Hasselhoff_Kym Johnson_11', 'Florence Henderson_Corky Ballas_11']",David Hasselhoff_Kym Johnson_11,David Hasselhoff_Kym Johnson_11,David Hasselhoff_Kym Johnson_11,Florence Henderson_Corky Ballas_11,1,1
11_2,11,2,11,Michael Bolton_Chelsie Hightower_11,"['Michael Bolton_Chelsie Hightower_11', 'Margaret Cho_Louis van Amstel_11']",Michael Bolton_Chelsie Hightower_11,Michael Bolton_Chelsie Hightower_11,Michael Bolton_Chelsie Hightower_11,Margaret Cho_Louis van Amstel_11,"['Michael Bolton_Chelsie Hightower_11', 'Margaret Cho_Louis van Amstel_11']",Michael Bolton_Chelsie Hightower_11,Michael Bolton_Chelsie Hightower_11,Michael Bolton_Chelsie Hightower_11,Margaret Cho_Louis van Amstel_11,1,1
11_3,11,3,10,Margaret Cho_Louis van Amstel_11,"['Margaret Cho_Louis van Amstel_11', 'Florence Henderson_Corky Ballas_11']",Margaret Cho_Louis van Amstel_11,Margaret Cho_Louis van Amstel_11,Margaret Cho_Louis van Amstel_11,Florence Henderson_Corky Ballas_11,"['Margaret Cho_Louis van Amstel_11', 'Florence Henderson_Corky Ballas_11']",Margaret Cho_Louis van Amstel_11,Margaret Cho_Louis van Amstel_11,Margaret Cho_Louis van Amstel_11,Florence Henderson_Corky Ballas_11,1,1
11_4,11,4,9,The Situation_Karina Smirnoff_11,"['The Situation_Karina Smirnoff_11', 'Florence Henderson_Corky Ballas_11']",The Situation_Karina Smirnoff_11,The Situation_Karina Smirnoff_11,Florence Henderson_Corky Ballas_11,The Situation_Karina Smirnoff_11,"['The Situation_Karina Smirnoff_11', 'Florence Henderson_Corky Ballas_11']",The Situation_Karina Smirnoff_11,The Situation_Karina Smirnoff_11,Florence Henderson_Corky Ballas_11,The Situation_Karina Smirnoff_11,1,1
11_5,11,5,8,Florence Henderson_Corky Ballas_11,"['Florence Henderson_Corky Ballas_11', 'Audrina Patridge_Tony Dovolani_11']",Florence Henderson_Corky Ballas_11,Florence Henderson_Corky Ballas_11,Florence Henderson_Corky Ballas_11,Audrina Patridge_Tony Dovolani_11,"['Florence Henderson_Corky Ballas_11', 'Audrina Patridge_Tony Dovolani_11']",Florence Henderson_Corky Ballas_11,Florence Henderson_Corky Ballas_11,Florence Henderson_Corky Ballas_11,Audrina Patridge_Tony Dovolani_11,1,1
11_6,11,6,7,Audrina Patridge_Tony Dovolani_11,"['Kurt Warner_Anna Trebunskaya_11', 'Audrina Patridge_Tony Dovolani_11']",Kurt Warner_Anna Trebunskaya_11,Kurt Warner_Anna Trebunskaya_11,Audrina Patridge_Tony Dovolani_11,Kurt Warner_Anna Trebunskaya_11,"['Audrina Patridge_Tony Dovolani_11', 'Rick Fox_Cheryl Burke_11']",Audrina Patridge_Tony Dovolani_11,Rick Fox_Cheryl Burke_11,Audrina Patridge_Tony Dovolani_11,Rick Fox_Cheryl Burke_11,0,0
11_7,11,7,6,Rick Fox_Cheryl Burke_11,"['Rick Fox_Cheryl Burke_11', 'Kurt Warner_Anna Trebunskaya_11']",Rick Fox_Cheryl Burke_11,Rick Fox_Cheryl Burke_11,Rick Fox_Cheryl Burke_11,Kurt Warner_Anna Trebunskaya_11,"['Rick Fox_Cheryl Burke_11', 'Kurt Warner_Anna Trebunskaya_11']",Rick Fox_Cheryl Burke_11,Rick Fox_Cheryl Burke_11,Rick Fox_Cheryl Burke_11,Kurt Warner_Anna Trebunskaya_11,1,1
11_8,11,8,5,Kurt Warner_Anna Trebunskaya_11,"['Kurt Warner_Anna Trebunskaya_11', 'Bristol Palin_Mark Ballas_11']",Kurt Warner_Anna Trebunskaya_11,Bristol Palin_Mark Ballas_11,Kurt Warner_Anna Trebunskaya_11,Bristol Palin_Mark Ballas_11,"['Kurt Warner_Anna Trebunskaya_11', 'Brandy_Maksim Chmerkoskiy_11']",Kurt Warner_Anna Trebunskaya_11,Kurt Warner_Anna Trebunskaya_11,Kurt Warner_Anna Trebunskaya_11,Brandy_Maksim Chmerkoskiy_11,0,1
11_9,11,9,4,Brandy_Maksim Chmerkoskiy_11,"['Brandy_Maksim Chmerkoskiy_11', 'Bristol Palin_Mark Ballas_11']",Brandy_Maksim Chmerkoskiy_11,Bristol Palin_Mark Ballas_11,Brandy_Maksim Chmerkoskiy_11,Bristol Palin_Mark Ballas_11,"['Brandy_Maksim Chmerkoskiy_11', 'Bristol Palin_Mark Ballas_11']",Brandy_Maksim Chmerkoskiy_11,Bristol Palin_Mark Ballas_11,Brandy_Maksim Chmerkoskiy_11,Bristol Palin_Mark Ballas_11,0,0
12_2,12,2,11,Mike Catherwood_Lacey Schwimmer_12,"['Mike Catherwood_Lacey Schwimmer_12', 'Wendy Williams_Tony Dovolani_12']",Mike Catherwood_Lacey Schwimmer_12,Mike Catherwood_Lacey Schwimmer_12,Mike Catherwood_Lacey Schwimmer_12,Wendy Williams_Tony Dovolani_12,"['Mike Catherwood_Lacey Schwimmer_12', 'Wendy Williams_Tony Dovolani_12']",Mike Catherwood_Lacey Schwimmer_12,Mike Catherwood_Lacey Schwimmer_12,Mike Catherwood_Lacey Schwimmer_12,Wendy Williams_Tony Dovolani_12,1,1
12_3,12,3,10,Wendy Williams_Tony Dovolani_12,"['Wendy Williams_Tony Dovolani_12', 'Sugar Ray Leonard_Anna Trebunskaya_12']",Wendy Williams_Tony Dovolani_12,Wendy Williams_Tony Dovolani_12,Wendy Williams_Tony Dovolani_12,Sugar Ray Leonard_Anna Trebunskaya_12,"['Wendy Williams_Tony Dovolani_12', 'Sugar Ray Leonard_Anna Trebunskaya_12']",Wendy Williams_Tony Dovolani_12,Wendy Williams_Tony Dovolani_12,Wendy Williams_Tony Dovolani_12,Sugar Ray Leonard_Anna Trebunskaya_12,1,1
12_4,12,4,9,Sugar Ray Leonard_Anna Trebunskaya_12,"['Sugar Ray Leonard_Anna Trebunskaya_12', 'Kendra Wilkinson_Louis van Amstel_12']",Sugar Ray Leonard_Anna Trebunskaya_12,Kendra Wilkinson_Louis van Amstel_12,Sugar Ray Leonard_Anna Trebunskaya_12,Kendra Wilkinson_Louis van Amstel_12,"['Sugar Ray Leonard_Anna Trebunskaya_12', 'Chelsea Kane_Mark Ballas_12']",Sugar Ray Leonard_Anna Trebunskaya_12,Sugar Ray Leonard_Anna Trebunskaya_12,Sugar Ray Leonard_Anna Trebunskaya_12,Chelsea Kane_Mark Ballas_12,0,1
12_5,12,5,8,Petra Nemcova_Dmitry Chaplin_12,"['Kendra Wilkinson_Louis van Amstel_12', 'Petra Nemcova_Dmitry Chaplin_12']",Kendra Wilkinson_Louis van Amstel_12,Kendra Wilkinson_Louis van Amstel_12,Kendra Wilkinson_Louis van Amstel_12,Petra Nemcova_Dmitry Chaplin_12,"['Kendra Wilkinson_Louis van Amstel_12', 'Petra Nemcova_Dmitry Chaplin_12']",Kendra Wilkinson_Louis van Amstel_12,Kendra Wilkinson_Louis van Amstel_12,Kendra Wilkinson_Louis van Amstel_12,Petra Nemcova_Dmitry Chaplin_12,0,0
12_6,12,6,7,Chris Jericho_Cheryl Burke_12,"['Chris Jericho_Cheryl Burke_12', 'Kendra Wilkinson_Louis van Amstel_12']",Chris Jericho_Cheryl Burke_12,Chris Jericho_Cheryl Burke_12,Kendra Wilkinson_Louis van Amstel_12,Chris Jericho_Cheryl Burke_12,"['Chris Jericho_Cheryl Burke_12', 'Kendra Wilkinson_Louis van Amstel_12']",Chris Jericho_Cheryl Burke_12,Chris Jericho_Cheryl Burke_12,Kendra Wilkinson_Louis van Amstel_12,Chris Jericho_Cheryl Burke_12,1,1
12_7,12,7,6,Kendra Wilkinson_Louis van Amstel_12,"['Kendra Wilkinson_Louis van Amstel_12', 'Romeo_Chelsie Hightower_12']",Kendra Wilkinson_Louis van Amstel_12,Romeo_Chelsie Hightower_12,Kendra Wilkinson_Louis van Amstel_12,Romeo_Chelsie Hightower_12,"['Kendra Wilkinson_Louis van Amstel_12', 'Ralph Macchio_Karina Smirnoff_12']",Kendra Wilkinson_Louis van Amstel_12,Kendra Wilkinson_Louis van Amstel_12,Kendra Wilkinson_Louis van Amstel_12,Ralph Macchio_Karina Smirnoff_12,0,1
12_8,12,8,5,Romeo_Chelsie Hightower_12,"['Romeo_Chelsie Hightower_12', 'Ralph Macchio_Karina Smirnoff_12']",Romeo_Chelsie Hightower_12,Ralph Macchio_Karina Smirnoff_12,Romeo_Chelsie Hightower_12,Ralph Macchio_Karina Smirnoff_12,"['Romeo_Chelsie Hightower_12', 'Ralph Macchio_Karina Smirnoff_12']",Romeo_Chelsie Hightower_12,Ralph Macchio_Karina Smirnoff_12,Romeo_Chelsie Hightower_12,Ralph Macchio_Karina Smirnoff_12,0,0
12_9,12,9,4,Ralph Macchio_Karina Smirnoff_12,"['Ralph Macchio_Karina Smirnoff_12', 'Kirstie Alley_Maksim Chmerkoskiy_12']",Ralph Macchio_Karina Smirnoff_12,Ralph Macchio_Karina Smirnoff_12,Ralph Macchio_Karina Smirnoff_12,Kirstie Alley_Maksim Chmerkoskiy_12,"['Ralph Macchio_Karina Smirnoff_12', 'Kirstie Alley_Maksim Chmerkoskiy_12']",Ralph Macchio_Karina Smirnoff_12,Ralph Macchio_Karina Smirnoff_12,Ralph Macchio_Karina Smirnoff_12,Kirstie Alley_Maksim Chmerkoskiy_12,1,1
13_1,13,1,12,Metta World Peace (Ron)_Peta Murgatroyd_13,"['Metta World Peace (Ron)_Peta Murgatroyd_13', 'Elisabetta Canalis_Valentin Chmerkovskiy_13']",Metta World Peace (Ron)_Peta Murgatroyd_13,Metta World Peace (Ron)_Peta Murgatroyd_13,Metta World Peace (Ron)_Peta Murgatroyd_13,Elisabetta Canalis_Valentin Chmerkovskiy_13,"['Metta World Peace (Ron)_Peta Murgatroyd_13', 'Kristin Cavallari_Mark Ballas_13']",Metta World Peace (Ron)_Peta Murgatroyd_13,Metta World Peace (Ron)_Peta Murgatroyd_13,Metta World Peace (Ron)_Peta Murgatroyd_13,Kristin Cavallari_Mark Ballas_13,1,1
